scenario,disturbance,init_variant,label,witness_source,reason,initial_gap_m,target_gap_m,process_gap_delta_m,remaining_distance_m,optimistic_max_gap_m,optimistic_time_s,min_forward_distance_m,late_start_bound,necessary_bound_label,bound_reason,mission_ok,full_window_ok,completion_s_m,min_h_mission_m,min_h_full_m,search_found,search_trials
ample,none,0,feasible_witness,A,Stage1C primary trace passed strict mission checker,30.2,30.2,0.0,96.0,870.2,16.0,55.849300000000085,0,not_excluded,,1,1,159.96280651728785,-4.1000000000000005,-4.1000000000000005,0,0
ample,none,1,feasible_witness,offline_candidate,bounded offline trace passed strict mission checker,30.2,30.2,0.0,99.0,867.0,16.0,50.74930000000009,0,not_excluded,,1,1,168.4656249999999,-7.169999999999999,-7.169999999999999,1,85
ample,none,2,feasible_witness,offline_candidate,bounded offline trace passed strict mission checker,27.2,27.2,0.0,97.0,876.8000000000001,16.0,55.849300000000056,0,not_excluded,,1,1,154.93125,-6.39,-6.39,1,49
ample,prepare,0,feasible_witness,A,Stage1C primary trace passed strict mission checker,30.2,30.2,0.0,96.0,870.2,16.0,55.849300000000085,0,not_excluded,,1,1,159.18675023152315,-4.1000000000000005,-4.1000000000000005,0,0
ample,prepare,1,feasible_witness,offline_candidate,bounded offline trace passed strict mission checker,30.2,30.2,0.0,99.0,867.0,16.0,50.74930000000009,0,not_excluded,,1,1,168.4656249999999,-7.169999999999999,-7.169999999999999,1,85
ample,prepare,2,feasible_witness,offline_candidate,bounded offline trace passed strict mission checker,27.2,27.2,0.0,97.0,876.8000000000001,16.0,55.849300000000056,0,not_excluded,,1,1,154.93125,-6.39,-6.39,1,49
collaborative,none,0,feasible_witness,offline_candidate,bounded offline trace passed strict mission checker,21.2,21.400000000000002,0.20000000000000284,94.0,853.2,16.0,54.349300000000085,0,not_excluded,,1,1,155.68124999999998,-5.1000000000000005,-5.1000000000000005,1,49
collaborative,none,1,unresolved,,no valid witness and no necessary exclusion; controller failure is not physical infeasibility,21.2,21.400000000000002,0.20000000000000284,97.0,850.0,16.0,49.24930000000012,0,not_excluded,,,,,,,0,96
collaborative,none,2,feasible_witness,A,Stage1C primary trace passed strict mission checker,18.2,21.400000000000002,3.200000000000003,95.0,859.8000000000001,16.0,54.349300000000056,0,not_excluded,,1,1,165.30770948377642,-7.39,-7.39,0,0
collaborative,prepare,0,feasible_witness,offline_candidate,bounded offline trace passed strict mission checker,21.2,21.400000000000002,0.20000000000000284,94.0,853.2,16.0,54.349300000000085,0,not_excluded,,1,1,155.68124999999998,-5.1000000000000005,-5.1000000000000005,1,49
collaborative,prepare,1,unresolved,,no valid witness and no necessary exclusion; controller failure is not physical infeasibility,21.2,21.400000000000002,0.20000000000000284,97.0,850.0,16.0,49.24930000000012,0,not_excluded,,,,,,,0,96
collaborative,prepare,2,unresolved,,no valid witness and no necessary exclusion; controller failure is not physical infeasibility,18.2,21.400000000000002,3.200000000000003,95.0,859.8000000000001,16.0,54.349300000000056,0,not_excluded,,,,,,,0,96
short_window,none,0,unresolved,,no valid witness and no necessary exclusion; controller failure is not physical infeasibility,13.2,21.400000000000002,8.200000000000003,92.0,837.2,16.0,52.84930000000017,0,not_excluded,,,,,,,0,96
short_window,none,1,unresolved,,no valid witness and no necessary exclusion; controller failure is not physical infeasibility,13.2,21.400000000000002,8.200000000000003,95.0,834.0,16.0,47.74930000000005,0,not_excluded,,,,,,,0,96
short_window,none,2,unresolved,,no valid witness and no necessary exclusion; controller failure is not physical infeasibility,10.2,21.400000000000002,11.200000000000003,93.0,843.8000000000001,16.0,52.84930000000011,0,not_excluded,,,,,,,0,96
short_window,prepare,0,unresolved,,no valid witness and no necessary exclusion; controller failure is not physical infeasibility,13.2,21.400000000000002,8.200000000000003,92.0,837.2,16.0,52.84930000000017,0,not_excluded,,,,,,,0,96
short_window,prepare,1,unresolved,,no valid witness and no necessary exclusion; controller failure is not physical infeasibility,13.2,21.400000000000002,8.200000000000003,95.0,834.0,16.0,47.74930000000005,0,not_excluded,,,,,,,0,96
short_window,prepare,2,unresolved,,no valid witness and no necessary exclusion; controller failure is not physical infeasibility,10.2,21.400000000000002,11.200000000000003,93.0,843.8000000000001,16.0,52.84930000000011,0,not_excluded,,,,,,,0,96
